Issue Id,Project,Tags,Summary,Reporter,Created,Updated,Resolved,Priority,Type,State,Assignee,Sprints,Ideal days,Original estimation,Story points,Environment,QASE TC # (only for bug),Description,Votes
G13-217,group1.3,,"Checkout with First name, Last name, City, Address 1, Zip, Phone number filled with special characters",Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart
2. Go to Checkout
3. Checkout as a guest
4. Billing address choose New address
5. Fill First name, Last name, City, Address 1, Zip, Phone number with special characters
6. Other fields fill correctly
7. Press Continue

**Result**

Continue Checkout to next step.

**Expected Result**

There is no possibility to enter special characters in these fields.",0
G13-216,group1.3,,"Checkout with First name, Last name, City, Address 1, Zip, Phone number filled with one character",Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart
2. Go to Checkout
3. Checkout as a guest
4. Billing address choose New address
5. Fill First name, Last name, City, Address 1, Zip, Phone number with one character
6. Other fields fill correctly
7. Press Continue

**Result**

Continue Checkout to next step.

**Expected Result**

There is no possibility to enter only one character in these fields.",0
G13-215,group1.3,,"Checkout with First name, Last name, City, Address 1,  filled with numbers",Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart
2. Go to Checkout
3. Checkout as a guest
4. Billing address choose New address
5. Fill First name, Last name, City, Address 1 with numbers
6. Other fields fill correctly
7. Press Continue

**Result**

Continue Checkout to next step.

**Expected Result**

There is no possibility to enter numbers in these fields.",0
G13-214,group1.3,Star,Checkout with Email address with one character in username part ,Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart
2. Go to Checkout
3. Checkout as a guest
4. Billing address choose New address
5. Fill Email field with Email, which contains one character in username part
6. Other fields fill correctly
7. Press Continue

**Result**

Continue Checkout to next step.

**Expected Result**

There is no possibility to enter invalid email address.",0
G13-213,group1.3,Star,Checkout with Email address with special characters in username part ,Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart
2. Go to Checkout
3. Checkout as a guest
4. Billing address choose New address 
5. Fill Email field with Email, which contains special characters in username part
6. Other fields fill correctly 
7. Press Continue 

**Result**

Continue Checkout to next step. 

**Expected Result**

There is no possibility to enter invalid email address.",0
G13-212,group1.3,Star,Discount Code and Gift Cards possibility to enter 1000000 symbols,Pablo,6 Oct 2022,6 Oct 2022,,Critical,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Go to Shopping cart
2. Enter 1000000 symbols
3. Press Apply coupon/Add gift card

**Result**

Web page crushes. Error message appears

**Expected Result**

There is a limitation for such amount of characters.


",0
G13-211,group1.3,Star,Enhancement / Gift cards and Discount Code formats not specified ,Pablo,6 Oct 2022,6 Oct 2022,,Minor,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Go to Shopping cart 

**Result**

Possibility to enter numbers, special characters and letters in Gift Card and Discount Code field.

**Expected Result**

There are placeholders in these fields. 


",0
G13-210,group1.3,Star,Currency is not specified in Shopping cart,Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart()
2. Go to Shopping cart 

**Result**

Price in Total without specified currency.

**Expected Result**

Price with specified currency everywhere on the web page. 


",0
G13-209,group1.3,Star,"In Shopping cart when Qty. of products is += 5, Estimate shipping shows 0.00 price ",Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart()
2. Go to Shopping cart
3. Change Qty. of product to +=5
4. Press Estimate shipping button

**Result**

Price shown for every type of shipping is 0.00.

**Expected Result**

Real shipping price shown (or price policy).",0
G13-208,group1.3,Star,In Shopping cart possibility to change Qty. of products to negative numbers,Pablo,6 Oct 2022,6 Oct 2022,,Normal,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Add product to Shopping cart()
2. Go to Shopping cart()
3. Change Qty. of product to -30

**Result**

There is no possibility to enter negative numbers. 

**Expected Result**

Product disappears from shopping cart.


",0
G13-207,group1.3,Star,Enhancement / Shopping cart() button no scroll bar appears when 5+ products added	 	 	 	 	 	 	,Pablo,6 Oct 2022,6 Oct 2022,,Minor,Bug,Open,Unassigned,Нет версии исправления,,,,macOS Monterey 12.5.1 / Google chrome 105.0.5195.102,No qase tc # (only for bug),"**STR**

1. Go to <https://demowebshop.tricentis.com/>
2. Add to cart 5+ random products
3. Mouse pointer is on top of Shopping cart() button

**Result**

Only 5 added products appear in popup list.

**Expected Result**

There is a possibility to scroll down added products.


",0
